"Id";"ActivityDate";"TotalSteps";"SedentaryMinutes";"VeryActiveMinutes";"Calories";"TotalMinutesAsleep";"TotalSleepRecords";"TotalTimeInBed"
1503960366;"2016-04-12";13162;728;25;1985;327;1;346
1503960366;"2016-04-13";10735;776;21;1797;384;2;407
1503960366;"2016-04-15";9762;726;29;1745;412;1;442
1503960366;"2016-04-16";12669;773;36;1863;340;2;367
1503960366;"2016-04-17";9705;539;38;1728;700;1;712
1503960366;"2016-04-19";15506;775;50;2035;304;1;320
1503960366;"2016-04-20";10544;818;28;1786;360;1;377
1503960366;"2016-04-21";9819;838;19;1775;325;1;364
1503960366;"2016-04-23";14371;732;41;1949;361;1;384
1503960366;"2016-04-24";10039;709;39;1788;430;1;449
1503960366;"2016-04-25";15355;814;73;2013;277;1;323
1503960366;"2016-04-26";13755;833;31;1970;245;1;274
1503960366;"2016-04-28";13154;782;48;1898;366;1;393
1503960366;"2016-04-29";11181;815;16;1837;341;1;354
1503960366;"2016-04-30";14673;712;52;1947;404;1;425
1503960366;"2016-05-01";10602;730;33;1820;369;1;396
1503960366;"2016-05-02";14727;798;41;2004;277;1;309
1503960366;"2016-05-03";15103;816;50;1990;273;1;296
1503960366;"2016-05-05";14070;857;45;1959;247;1;264
1503960366;"2016-05-06";12159;754;24;1896;334;1;367
1503960366;"2016-05-07";11992;833;37;1821;331;1;349
1503960366;"2016-05-08";10060;574;44;1740;594;1;611
1503960366;"2016-05-09";12022;835;46;1819;338;1;342
1503960366;"2016-05-10";12207;746;46;1859;383;1;403
1503960366;"2016-05-11";12770;669;36;1783;285;1;306
1644430081;"2016-04-29";3176;1193;0;2498;119;1;127
1644430081;"2016-04-30";18213;816;9;3846;124;1;142
1644430081;"2016-05-02";3758;682;1;2580;796;1;961
1644430081;"2016-05-08";6724;991;0;2987;137;1;154
1844505072;"2016-04-15";3844;527;0;1725;644;1;961
1844505072;"2016-04-30";4014;218;0;1763;722;1;961
1844505072;"2016-05-01";2573;585;0;1541;590;1;961
1927972279;"2016-04-12";678;734;0;2220;750;3;775
1927972279;"2016-04-13";356;986;0;2151;398;1;422
